direction,phase,sector,ticker,events,avg_alpha,median_alpha,hit_rate,vol_alpha,consistency_ratio,avg_max_drawdown,alpha_rank,consistency_rank,drawdown_rank,composite_score
Cut,Post-45D,Technology,XLK,5,0.04972663096794487,0.040192249998639795,1.0,0.03342541308154028,1.4876893472232717,-0.09032948836325363,1.0,1.0,3.0,0.9784090909090909
Cut,Post-45D,Health Care,XLV,5,0.02269556690224552,0.015303397163363819,0.8,0.027532981509606248,0.8243047304676047,-0.09730731882315398,2.0,2.0,5.0,0.9181818181818182
Cut,Post-45D,Communication Services,XLC,5,0.015315627695078483,0.013764638366782211,0.6,0.03162458313377207,0.48429500652366986,-0.08434167626112221,3.0,3.0,1.0,0.8227272727272728
Cut,Post-45D,Consumer Discretionary,XLY,5,0.014697985714802807,0.0015485081518296084,0.6,0.059041449373967526,0.24894351122219271,-0.09453683401321833,4.0,4.0,4.0,0.7613636363636364
Cut,Post-45D,Energy,XLE,5,-0.007955757903548943,-0.05488057994713391,0.4,0.09710829319926517,-0.08192665776983449,-0.17408048183122637,5.0,5.0,11.0,0.37840909090909086
Cut,Post-45D,Materials,XLB,5,-0.010370414397863192,-0.022388042717910395,0.2,0.034754714633302805,-0.2983887080438293,-0.11747451558962167,6.0,6.0,6.0,0.2659090909090909
Cut,Post-45D,Consumer Staples,XLP,5,-0.036305997881067587,-0.020607398960270862,0.2,0.05642032448657163,-0.6434914760142619,-0.0879101376446115,7.0,7.0,2.0,0.16590909090909092
Cut,Post-45D,Industrials,XLI,5,-0.04536551221512079,-0.010454496621786769,0.2,0.05014296492654441,-0.9047233700994304,-0.13266076474997704,8.0,10.0,8.0,0.11022727272727273
Cut,Post-45D,Financials,XLF,5,-0.05000074153924696,-0.003311201844590439,0.2,0.06682898224041088,-0.7481894810154982,-0.1285253710443723,9.0,9.0,7.0,0.11022727272727272
Cut,Post-45D,Utilities,XLU,5,-0.05230067295346552,-0.06671112350697372,0.2,0.07258806524380329,-0.7205133898775506,-0.1343756135028617,10.0,8.0,9.0,0.09772727272727272
Cut,Post-45D,Real Estate,XLRE,5,-0.06778770323887066,-0.09017503356618262,0.2,0.06677346638754583,-1.015189219703502,-0.1387966323267144,11.0,11.0,10.0,0.07272727272727272
Cut,Pre-45D,Technology,XLK,5,0.0299297207293149,0.03299008621188215,1.0,0.018128382708101406,1.6509868095370464,-0.11979875399110687,2.0,1.0,6.0,0.9420454545454544
Cut,Pre-45D,Utilities,XLU,5,0.03425795703653452,0.044438573475381604,0.6,0.04508344474166291,0.7598788697899952,-0.09785190805559121,1.0,2.0,3.0,0.8920454545454546
Cut,Pre-45D,Real Estate,XLRE,5,0.021955145224980988,0.04074728364407443,0.6,0.041051174489600425,0.5348238021921377,-0.10777642516326931,3.0,3.0,4.0,0.8409090909090909
Cut,Pre-45D,Consumer Staples,XLP,5,0.019532866066781195,0.0046366499588692545,0.6,0.04975464423327073,0.3925837751990124,-0.07901378984061884,4.0,4.0,1.0,0.8318181818181818
Cut,Pre-45D,Health Care,XLV,5,0.008572050351431404,0.004553645567827447,0.6,0.028022255861640536,0.3059015089204728,-0.09133990764315376,5.0,5.0,2.0,0.7215909090909091
Cut,Pre-45D,Communication Services,XLC,5,-0.0021725777641682154,-0.0015435012100106782,0.4,0.007529267711344212,-0.2885510048865485,-0.11755210296959498,6.0,6.0,5.0,0.4443181818181819
Cut,Pre-45D,Materials,XLB,5,-0.010757417536729364,-0.002988419157207156,0.4,0.027809124886236103,-0.3868304946932602,-0.1262704579513903,7.0,7.0,8.0,0.3034090909090909
Cut,Pre-45D,Industrials,XLI,5,-0.017035151713657014,-0.011493067659191336,0.4,0.028475256015135716,-0.5982440229721608,-0.13135413109454924,8.0,9.0,9.0,0.2693181818181818
Cut,Pre-45D,Financials,XLF,5,-0.025923042706383792,-0.01750402938201523,0.4,0.04684492160791208,-0.5533799997224332,-0.1394295283190488,10.0,8.0,10.0,0.2181818181818182
