event_date,move_bps,direction,phase,sector,ticker,sector_return,benchmark_return,alpha,max_drawdown
2019-09-19,-25.0,Cut,Post-45D,Financials,XLF,0.051476476358079504,0.03528222341138232,0.016194252946697185,-0.05190113491047377
2019-09-19,-25.0,Cut,Pre-45D,Health Care,XLV,-0.0035787869254042537,0.011217783591244368,-0.014796570516648622,-0.04270919877357571
2019-09-19,-25.0,Cut,Post-45D,Health Care,XLV,0.07017136665302104,0.03528222341138232,0.03488914324163872,-0.044021889973883455
2019-09-19,-25.0,Cut,Pre-45D,Industrials,XLI,0.02380010379886799,0.011217783591244368,0.01258232020762362,-0.07535241927479253
2019-09-19,-25.0,Cut,Post-45D,Industrials,XLI,0.037609465161936084,0.03528222341138232,0.0023272417505537657,-0.054083533999634836
2019-09-19,-25.0,Cut,Pre-45D,Materials,XLB,0.012752096002523805,0.011217783591244368,0.001534312411279437,-0.07584946763352396
2019-09-19,-25.0,Cut,Post-45D,Materials,XLB,0.012894180693471924,0.03528222341138232,-0.022388042717910395,-0.05721994903914529
2019-09-19,-25.0,Cut,Pre-45D,Real Estate,XLRE,0.056921415545989396,0.011217783591244368,0.04570363195474503,-0.03765591392974854
2019-09-19,-25.0,Cut,Post-45D,Real Estate,XLRE,-0.024104488304129812,0.03528222341138232,-0.05938671171551213,-0.06421066761755911
2019-09-19,-25.0,Cut,Pre-45D,Technology,XLK,0.012680602335151558,0.011217783591244368,0.0014628187439071905,-0.08459258740470721
2019-09-19,-25.0,Cut,Post-45D,Technology,XLK,0.0676417451172382,0.03528222341138232,0.032359521705855876,-0.03604367463265146
2019-09-19,-25.0,Cut,Pre-45D,Utilities,XLU,0.05565635706662597,0.011217783591244368,0.044438573475381604,-0.032157880120289084
2019-09-19,-25.0,Cut,Post-45D,Utilities,XLU,-0.010028660551759883,0.03528222341138232,-0.0453108839631422,-0.05482801661222714
2019-10-31,-25.0,Cut,Pre-45D,Communication Services,XLC,0.03907552886872545,0.05483311417359049,-0.01575758530486504,-0.05814301522227827
2019-10-31,-25.0,Cut,Post-45D,Communication Services,XLC,0.08295244997612405,0.06918781160934184,0.013764638366782211,-0.014789380527700846
2019-10-31,-25.0,Cut,Pre-45D,Consumer Discretionary,XLY,0.02304145827480597,0.05483311417359049,-0.03179165589878452,-0.04714470059703524
2019-10-31,-25.0,Cut,Post-45D,Consumer Discretionary,XLY,0.04588626539588736,0.06918781160934184,-0.023301546213454483,-0.024584353174656015
2019-10-31,-25.0,Cut,Pre-45D,Consumer Staples,XLP,0.012371658065500224,0.05483311417359049,-0.04246145610809027,-0.022630793575813768
2019-10-31,-25.0,Cut,Post-45D,Consumer Staples,XLP,0.02253296163828966,0.06918781160934184,-0.04665484997105218,-0.019288679583671975
2019-10-31,-25.0,Cut,Pre-45D,Energy,XLE,0.03248166723351531,0.05483311417359049,-0.02235144694007518,-0.10642712321279768
2019-10-31,-25.0,Cut,Post-45D,Energy,XLE,0.08929641213551154,0.06918781160934184,0.020108600526169695,-0.05351592584991094
2019-10-31,-25.0,Cut,Pre-45D,Financials,XLF,0.09142328193382854,0.05483311417359049,0.036590167760238046,-0.05622275042114677
2019-10-31,-25.0,Cut,Post-45D,Financials,XLF,0.06917841757739973,0.06918781160934184,-9.394031942111525e-06,-0.021854443455632255
2019-10-31,-25.0,Cut,Pre-45D,Health Care,XLV,0.05938675974141794,0.05483311417359049,0.004553645567827447,-0.044021889973883344
2019-10-31,-25.0,Cut,Post-45D,Health Care,XLV,0.08449120877270566,0.06918781160934184,0.015303397163363819,-0.011741941948342549
2019-10-31,-25.0,Cut,Pre-45D,Industrials,XLI,0.06398067357609882,0.05483311417359049,0.009147559402508332,-0.06159373638659815
2019-10-31,-25.0,Cut,Post-45D,Industrials,XLI,0.058733314987555074,0.06918781160934184,-0.010454496621786769,-0.032606084596663254
2019-10-31,-25.0,Cut,Pre-45D,Materials,XLB,0.051844695016383335,0.05483311417359049,-0.002988419157207156,-0.06311847322678654
2019-10-31,-25.0,Cut,Post-45D,Materials,XLB,0.02624847303729383,0.06918781160934184,-0.042939338572048014,-0.03305126721291041
2019-10-31,-25.0,Cut,Pre-45D,Real Estate,XLRE,0.01729889042718802,0.05483311417359049,-0.03753422374640247,-0.03765591392974865
2019-10-31,-25.0,Cut,Post-45D,Real Estate,XLRE,-0.020987221956840774,0.06918781160934184,-0.09017503356618262,-0.047292008290374055
2019-10-31,-25.0,Cut,Pre-45D,Technology,XLK,0.07341949238122547,0.05483311417359049,0.01858637820763498,-0.03958058936320352
2019-10-31,-25.0,Cut,Post-45D,Technology,XLK,0.10938006160798164,0.06918781160934184,0.040192249998639795,-0.025899245384850667
2019-10-31,-25.0,Cut,Pre-45D,Utilities,XLU,0.04211968460134918,0.05483311417359049,-0.012713429572241308,-0.025411813749838585
2019-10-31,-25.0,Cut,Post-45D,Utilities,XLU,0.0024766881023681186,0.06918781160934184,-0.06671112350697372,-0.04482490009913587
2020-03-04,-50.0,Cut,Pre-45D,Communication Services,XLC,-0.02717682249570008,-0.030973472837509952,0.0037966503418098707,-0.12104906755582656
